-11083.25373366299, -6551.143466381614, -4849.245045536371, -2124.642976647308, -6490.232692474584, -1258.3180084434462, -7252.431677205254, -6490.787836409043
-10547.23660672015, -5940.139572549155, -2611.7231670556357, -1016.4991967282078, -5373.4839034640045, -178.33044741486842, -6668.281029583232, -4853.652647977585
-10264.212589851639, -5401.915309526867, -1118.4222766986898, -169.031436177286, -4661.550352746663, 1196.7268930344437, -6255.015942018101, -3940.432152546292
-10106.424310146287, -5101.008680616667, 89.82860471570308, 569.2427851984638, -4322.328333719812, 2005.6296147900841, -6446.185439967934, -3624.449286386726
-9894.201442995658, -5102.270492578704, 1178.0820455832793, 1230.377449185332, -4378.50974380112, 3043.7036234706925, -5571.422101686199, -3199.026094570543
-9741.58468915164, -4731.026202740402, 2216.2513538199555, 1865.5839357202485, -3575.917571852102, 3833.086455998004, -5442.154705725888, -3088.553818225766
-9551.823349172078, -4561.744324989056, 3031.2378793432113, 2813.6494560810197, -3783.232404478256, 4560.5026135519865, -5149.629475304053, -2552.5318116607846
-9447.66487849766, -4354.342316283729, 3706.1826877543053, 3525.0709776767194, -3459.041426228081, 5158.241743695441, -4877.777844240801, -2142.071392353808
-9320.331570293312, -4236.981750196782, 4184.470490286371, 4128.690353064477, -3657.3273381216864, 5681.044325759619, -4829.759959067841, -1952.1525549693329
-9325.3221259174, -4198.657702072379, 4724.064046498064, 4519.231473289388, -3032.115696037858, 5611.878433281335, -4914.884880362745, -1867.052525619933
-9398.009846615298, -4057.7068654774635, 4944.917097430245, 4789.987292913499, -3534.0105676236667, 6189.574654106264, -4918.538178987316, -1476.6425483115793
-9294.290984522891, -3996.353126009438, 5195.451708172743, 5016.457614047738, -3496.5663735169214, 6285.493846939609, -4784.89353850918, -1369.2037331977742
-9276.734663237723, -3835.7131244722723, 4984.538316749011, 5280.2623344794765, -2982.468670666076, 6360.2757415010965, -4983.731205826816, -1387.2635959332724
-9174.75623237158, -3825.7241157683825, 5218.42276738707, 5331.251458789903, -2629.687343020105, 6318.388650351769, -5326.058875750233, -1252.117406621342
-9438.395807623665, -3791.798731176863, 5283.657499044301, 5262.12813794461, -3594.506611941626, 6446.248906762, -5225.505203925499, -1164.4493143768802
-9286.728933802713, -3590.127082273181, 5289.927024469116, 5165.664703404181, -3062.063812800714, 6297.495155049981, -5789.1914090977925, -932.7551099455984
-9155.827186309863, -3581.9156090896377, 5453.83628144975, 5565.643192008627, -2479.261916300953, 6466.590392205951, -4862.721796791246, -1090.8629977333771
-9202.860865866498, -3480.9280728802933, 5319.608468656597, 5603.032260943336, -2713.335046979464, 6172.630670029581, -5244.37570204135, -831.7666606579711
-9173.525306091833, -3396.445105163304, 5394.03354439655, 5075.46317503857, -3362.220635815613, 6571.0387938914955, -4933.702625966079, -596.0971361199331
-9252.586975821714, -3393.801330077835, 5425.681045341019, 5408.279417018822, -2679.8980905476847, 6439.044548539692, -4729.68558614761, -702.2889837444976
-9164.492794683825, -3463.5696472985837, 5550.139635142542, 5346.72963153498, -3073.9966358575393, 6477.148727784096, -4795.839054243101, -374.59422788518975
-9114.605879077395, -3328.4845102951635, 5408.773839070993, 5539.6187226027905, -2927.799687983469, 6517.67910827758, -5187.328351424456, -278.0809130924169
-9118.476304559683, -3380.5952614257603, 5248.536884266875, 5277.061301446881, -2970.342469829961, 6637.012601936522, -5087.912262751764, -625.534784437568
-9155.467397566352, -3209.7721590046276, 5401.5149685374045, 5366.0865292817025, -2398.313185667256, 6540.142172498439, -4953.345132801873, -216.79484170518631
-8942.191622857346, -3105.7710259083333, 5537.026869960767, 5529.555231020053, -2883.6289494464727, 6437.397083184849, -3998.1542361817624, -181.95771434022302
-8975.691561813544, -3091.947189917263, 5645.760323006068, 5402.732072573593, -2274.7218009023272, 6511.755207857037, -2908.350786780336, -371.39641080025626
-8851.605122278064, -3251.7608386166607, 5607.4969647180615, 5509.073456449904, -2221.5431824336342, 6491.328373725039, -4057.2640822307153, -693.5190904945875
-8839.549475516915, -3062.4940843627537, 5535.7100087080835, 5409.441341366261, -2184.878486339705, 6426.003787375263, -5310.996834375754, -253.24404329052865
-8993.145203589607, -2993.318156876506, 5569.820507524038, 5456.562080472886, -2662.742144966374, 6448.749034398885, -4523.355665695319, -179.65601524693298
-9073.818022051828, -3282.931588604222, 5362.614803551513, 5532.618353048446, -3508.895854046583, 6532.099101026022, -3618.9836101461565, 299.90354487024405
-8979.747063815175, -3114.861593647851, 5552.017978093832, 5382.392840248175, -2833.9272486624245, 6454.314199105277, -4203.716106914482, 23.5529602931428
-8914.649570089961, -3081.1686224074665, 5634.619871904061, 5509.730738230399, -2511.0958607065477, 6290.963682014828, -3675.356395994024, 239.17403086940863
-9002.736691335213, -2977.3449192324406, 5685.045957487764, 5608.559886699527, -2647.650015225584, 6590.550548393436, -4694.789339719252, 342.5664944873378
-9089.735322921875, -3003.627149766012, 5635.455225722248, 5611.058279476335, -2566.457293109686, 6480.918857513541, -4512.831305238751, -409.653589511656
-8931.107520543601, -2989.0292160560766, 5702.724342474928, 5402.590570897596, -2165.199603454739, 6266.1310693627365, -3495.735179490302, 214.12375719020758
-8988.819020250397, -2964.2271859707866, 5671.977498742813, 5496.377429797646, -2663.746001644339, 6426.007693032924, -4269.564258390917, 194.36079603819522
-8784.546261024556, -2955.155088273372, 5570.63044440673, 5431.277214792029, -2463.8066296622806, 6387.946765595462, -3474.40468923024, 197.86587242158404
-8963.905464997437, -3134.386279024792, 5574.371371629374, 5481.995734938982, -2563.833141534675, 6459.4975300026945, -3018.860796114479, -231.12782985258633
