-18214.338560724333, -17536.250889212766, -18225.46842893971, -17662.460119492596, -17024.62289054385, -17274.186446145377, -17061.8395864757, -16959.02545483484
-17973.06409191647, -17191.074001727087, -18012.701421236194, -17350.69150990695, -16693.12252086672, -16945.905022822226, -16648.17417932206, -16752.69368816607
-17784.13018985245, -16913.673657530086, -17704.987052540033, -17158.900489706724, -16723.527731049482, -16822.27717552573, -16446.248726388087, -16493.396272491813
-17617.21889576486, -16658.008829070848, -17592.587577044127, -16955.67748559939, -16669.302160642303, -16591.61495994541, -16257.792705931315, -16356.927451196072
-17373.565045303054, -16387.407737674803, -17417.842293648537, -16790.385682986336, -16363.4451196317, -16623.288744489666, -16106.49835997493, -16180.819728198347
-17205.003670906466, -16313.668085041141, -17530.740736232456, -16819.97313744018, -16278.30177961424, -16356.231209981985, -16133.181379528898, -16283.44092010081
-17212.24191057113, -16255.152920398374, -17339.06764918152, -16690.551627653764, -15991.834887115721, -16422.234220009774, -16071.028550238296, -16414.728537567637
-17039.530238673, -16069.570777639265, -17138.902538218663, -16689.011739712878, -16111.225014889895, -16541.364821361192, -15947.989120284818, -16257.365933593283
-17077.830237827544, -15917.942957652309, -16982.907441837644, -16525.80009159168, -16283.87094350727, -16459.054787698515, -15985.046475479985, -15931.088916830398
-17011.3377270405, -15826.599367967894, -17236.60761414406, -16471.377173273446, -16334.743734937827, -16308.093746168783, -15849.607330403765, -15890.636907010901
-16759.16383347827, -15848.309860354642, -17091.14203073685, -16451.836644196697, -16405.96632606695, -16332.803479692935, -15886.015466405337, -15879.791644501525
-16807.10604459922, -15792.116234866106, -16897.085000126724, -16423.479168326132, -15923.811284425086, -16034.12331982464, -15897.612771863942, -15920.669713738564
-16763.656372209072, -15582.868393761735, -17072.464937969708, -16375.194672481366, -15783.14334034545, -16157.111588090207, -15963.71694114106, -15676.058128607361
-16837.116517154092, -15628.01678100875, -17196.81740007272, -16466.605700799595, -15787.768673313209, -16124.065321956272, -16083.222347598508, -15727.51223764415
-16752.98884844906, -15714.047392016942, -16905.58037103539, -16386.569159910177, -15916.047767913837, -16266.616403447453, -15953.50323640265, -15873.984272114596
-16792.091426601502, -15606.10286936215, -17035.365685586556, -16341.490586749778, -15888.928506939059, -15921.85442777348, -15714.324830679032, -16061.72870946825
-16842.68342519283, -15636.367859119666, -16754.307180524218, -16355.66658684615, -16135.103574023744, -16083.960800907325, -16068.782446700003, -15965.617073710015
-16819.84815858603, -15521.546469140349, -16751.61734036031, -16250.859054010878, -15859.508351912373, -15996.66138120019, -15966.29118415855, -16025.439440622016
